period,window_days,buy_thresh,sell_thresh,return_pct,max_dd_pct,trades,win_rate,profit_factor,calmar,static_return_pct,static_max_dd_pct,outperformance
2023_2024_Cycle,365,-1.2,2.5,80.51286036064877,-16.142106564136235,1,0.0,0.0,4.987754233981358,486.2319037232082,-26.1820330084766,-405.71904336255943
2023_2024_Cycle,365,-1.2,3.0,80.51286036064877,-16.142106564136235,1,0.0,0.0,4.987754233981358,486.2319037232082,-26.1820330084766,-405.71904336255943
2023_2024_Cycle,365,-1.2,3.5,80.51286036064877,-16.142106564136235,1,0.0,0.0,4.987754233981358,486.2319037232082,-26.1820330084766,-405.71904336255943
2023_2024_Cycle,365,-1.5,1.5,73.54108986626983,-8.519272687087241,1,0.0,0.0,8.632320218806576,486.2319037232082,-26.1820330084766,-412.69081385693835
2023_2024_Cycle,365,-1.5,2.0,73.54108986626983,-8.519272687087241,1,0.0,0.0,8.632320218806576,486.2319037232082,-26.1820330084766,-412.69081385693835
2023_2024_Cycle,365,-1.5,2.5,73.54108986626983,-8.519272687087241,1,0.0,0.0,8.632320218806576,486.2319037232082,-26.1820330084766,-412.69081385693835
2023_2024_Cycle,365,-1.5,3.0,73.54108986626983,-8.519272687087241,1,0.0,0.0,8.632320218806576,486.2319037232082,-26.1820330084766,-412.69081385693835
2023_2024_Cycle,365,-1.5,3.5,73.54108986626983,-8.519272687087241,1,0.0,0.0,8.632320218806576,486.2319037232082,-26.1820330084766,-412.69081385693835
2023_2024_Cycle,365,-1.8,1.5,0.0,0.0,0,0.0,0.0,0.0,486.2319037232082,-26.1820330084766,-486.2319037232082
2023_2024_Cycle,365,-1.8,2.0,0.0,0.0,0,0.0,0.0,0.0,486.2319037232082,-26.1820330084766,-486.2319037232082
2023_2024_Cycle,365,-1.8,2.5,0.0,0.0,0,0.0,0.0,0.0,486.2319037232082,-26.1820330084766,-486.2319037232082
2023_2024_Cycle,365,-1.8,3.0,0.0,0.0,0,0.0,0.0,0.0,486.2319037232082,-26.1820330084766,-486.2319037232082
2023_2024_Cycle,365,-1.8,3.5,0.0,0.0,0,0.0,0.0,0.0,486.2319037232082,-26.1820330084766,-486.2319037232082
2023_2024_Cycle,365,-2.0,1.5,0.0,0.0,0,0.0,0.0,0.0,486.2319037232082,-26.1820330084766,-486.2319037232082
2023_2024_Cycle,365,-2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,486.2319037232082,-26.1820330084766,-486.2319037232082
2023_2024_Cycle,365,-2.0,2.5,0.0,0.0,0,0.0,0.0,0.0,486.2319037232082,-26.1820330084766,-486.2319037232082
2023_2024_Cycle,365,-2.0,3.0,0.0,0.0,0,0.0,0.0,0.0,486.2319037232082,-26.1820330084766,-486.2319037232082
2023_2024_Cycle,365,-2.0,3.5,0.0,0.0,0,0.0,0.0,0.0,486.2319037232082,-26.1820330084766,-486.2319037232082
Full_History,365,-1.0,1.5,49.55433903258894,-76.63456370856909,7,28.57142857142857,1.1395800839617611,0.6466317107387394,2373.8076477323907,-76.63456370856909,-2324.253308699802
Full_History,365,-1.0,2.0,81.36667947503884,-76.63456370856909,7,28.57142857142857,1.6206672624498442,1.0617491055924235,2373.8076477323907,-76.63456370856909,-2292.440968257352
Full_History,365,-1.0,2.5,159.03302421576882,-76.63456370856908,7,28.57142857142857,3.675924571903265,2.075212756747073,2373.8076477323907,-76.63456370856909,-2214.774623516622
Full_History,365,-1.0,3.0,209.7706834559674,-76.63456370856909,7,28.57142857142857,9.568883885389317,2.737285544597044,2373.8076477323907,-76.63456370856909,-2164.0369642764235
Full_History,365,-1.0,3.5,625.2892171847922,-76.63456370856909,7,57.14285714285714,39.478955599308485,8.15936291570319,2373.8076477323907,-76.63456370856909,-1748.5184305475987
Full_History,365,-1.2,1.5,191.98600928000025,-76.63456370856908,7,28.57142857142857,3.8180214768516647,2.50521435745491,2373.8076477323907,-76.63456370856909,-2181.8216384523903
Full_History,365,-1.2,2.0,254.09559695049646,-76.63456370856909,7,28.57142857142857,5.742102982139319,3.3156787832287757,2373.8076477323907,-76.63456370856909,-2119.712050781894
Full_History,365,-1.2,2.5,405.72935229923894,-76.63456370856908,7,57.14285714285714,15.8302095769825,5.29433890746965,2373.8076477323907,-76.63456370856909,-1968.0782954331517
Full_History,365,-1.2,3.0,504.78824111239396,-76.63456370856908,7,57.14285714285714,46.424471382338496,6.586952631870336,2373.8076477323907,-76.63456370856909,-1869.0194066199967
Full_History,365,-1.2,3.5,1316.0358400130112,-76.63456370856909,7,85.71428571428571,999.0,17.1728757407391,2373.8076477323907,-76.63456370856909,-1057.7718077193795
Full_History,365,-1.5,1.5,161.45971508451095,-67.16664292494335,7,28.57142857142857,3.3537173573909485,2.403867575530568,2373.8076477323907,-76.63456370856909,-2212.3479326478796
Full_History,365,-1.5,2.0,217.07592469807446,-67.16664292494335,7,28.57142857142857,4.735869343536976,3.231900765691835,2373.8076477323907,-76.63456370856909,-2156.731723034316
Full_History,365,-1.5,2.5,352.85680874946735,-67.16664292494335,7,28.57142857142857,12.193365113463642,5.25345310385356,2373.8076477323907,-76.63456370856909,-2020.9508389829234
Full_History,365,-1.5,3.0,441.55937675791944,-67.16664292494335,7,28.57142857142857,489.86848868991376,6.574087337539684,2373.8076477323907,-76.63456370856909,-1932.2482709744713
Full_History,365,-1.5,3.5,1167.9933815740449,-67.16664292494335,7,57.14285714285714,1561.3755123808878,17.389485773157393,2373.8076477323907,-76.63456370856909,-1205.8142661583458
Full_History,365,-1.8,1.5,111.96127236285407,-50.34244473546355,4,50.0,8.856221537115012,2.223993549601761,2373.8076477323907,-76.63456370856909,-2261.8463753695364
Full_History,365,-1.8,2.0,134.9113971032919,-50.342444735463566,4,50.0,12.063317250256674,2.679873768789262,2373.8076477323907,-76.63456370856909,-2238.8962506290986
Full_History,365,-1.8,2.5,197.04609062315558,-50.342444735463566,4,50.0,40.8339542859956,3.914114454682951,2373.8076477323907,-76.63456370856909,-2176.761557109235
Full_History,365,-1.8,3.0,227.4952225074137,-50.342444735463566,4,100.0,999.0,4.518954605856784,2373.8076477323907,-76.63456370856909,-2146.3124252249772
